cell_id,lat_deg,lon_w_deg,hemisphere,is_valid,range_id,e_min_mev,e_max_mev
67,75,90,leading,0,-1,101,100
68,75,102,leading,0,-1,101,100
69,75,114,leading,0,-1,101,100
70,75,126,leading,0,-1,101,100
71,75,138,leading,0,-1,101,100
72,75,150,leading,0,-1,101,100
73,75,162,leading,0,-1,101,100
74,75,174,leading,0,-1,101,100
75,75,186,trailing,0,-1,0,0
76,75,198,trailing,1,6,0.00375,0.00378471576
77,75,210,trailing,1,8,0.00386038415,0.0104715267
78,75,222,trailing,1,11,0.00394858383,0.0114823298
79,75,234,trailing,1,10,0.00391697528,0.0123607842
80,75,246,trailing,1,7,0.00378006392,0.0130634543
81,75,258,trailing,1,4,0.00352535997,0.0135539548
82,75,270,trailing,1,28,0.00575252869,0.0137426041
83,75,282,trailing,1,4,0.00352535997,0.0135539548
84,75,294,trailing,1,7,0.00378006392,0.0130634543
85,75,306,trailing,1,10,0.00391697528,0.0123607842
86,75,318,trailing,1,11,0.00394858383,0.0114823298
87,75,330,trailing,1,8,0.00386038415,0.0104715267
88,75,342,trailing,1,6,0.00375,0.00378471576
89,75,354,trailing,0,-1,0,0
90,69,6,leading,0,-1,101,100
91,69,18,leading,0,-1,101,100
92,69,30,leading,0,-1,101,100
93,69,42,leading,0,-1,101,100
94,69,54,leading,0,-1,101,100
95,69,66,leading,0,-1,101,100
96,69,78,leading,0,-1,101,100
97,69,90,leading,0,-1,100.616667,100
98,69,102,leading,0,-1,101,100
99,69,114,leading,0,-1,101,100
100,69,126,leading,0,-1,101,100
101,69,138,leading,0,-1,101,100
102,69,150,leading,0,-1,101,100
103,69,162,leading,0,-1,101,100
104,69,174,leading,0,-1,101,100
105,69,186,trailing,0,-1,0,0
106,69,198,trailing,1,12,0.00396140377,0.010814763
107,69,210,trailing,1,15,0.0043098323,0.0125328264
108,69,222,trailing,1,17,0.00457382154,0.0143244527
109,69,234,trailing,1,19,0.00470756892,0.0159257924
110,69,246,trailing,1,18,0.00467036693,0.0173029064
111,69,258,trailing,1,16,0.00441629758,0.0182024591
112,69,270,trailing,1,35,0.00714022099,0.018541039
113,69,282,trailing,1,16,0.00441629758,0.0182024591
114,69,294,trailing,1,18,0.00467036693,0.0173029064
115,69,306,trailing,1,19,0.00470756892,0.0159257924
116,69,318,trailing,1,17,0.00457382154,0.0143244527
117,69,330,trailing,1,15,0.0043098323,0.0125328264
118,69,342,trailing,1,12,0.00396140377,0.010814763
119,69,354,trailing,0,-1,0,0
120,63,6,leading,0,-1,101,100
121,63,18,leading,0,-1,101,100
122,63,30,leading,0,-1,101,100
123,63,42,leading,0,-1,100.608317,100
124,63,54,leading,1,176,96.9581383,100
125,63,66,leading,1,175,93.2875411,100
126,63,78,leading,1,173,91.0707497,100
127,63,90,leading,1,171,90.5905449,100
128,63,102,leading,1,173,91.0707497,100
129,63,114,leading,1,175,93.2875411,100
130,63,126,leading,1,176,96.9581383,100
131,63,138,leading,0,-1,100.608317,100
132,63,150,leading,0,-1,101,100
133,63,162,leading,0,-1,101,100
134,63,174,leading,0,-1,101,100
135,63,186,trailing,1,5,0.00367589245,0.0104833928
136,63,198,trailing,1,14,0.00430902077,0.0127659467
137,63,210,trailing,1,23,0.00495452308,0.0155630979
138,63,222,trailing,1,24,0.00550593023,0.018541039
139,63,234,trailing,1,29,0.0058797137,0.0213877492
140,63,246,trailing,1,31,0.00596919131,0.0237786993
141,63,258,trailing,1,27,0.00572302741,0.0254802158
142,63,270,trailing,1,41,0.00916805371,0.0260740266
143,63,282,trailing,1,27,0.00572302741,0.0254802158
144,63,294,trailing,1,31,0.00596919131,0.0237786993
145,63,306,trailing,1,29,0.0058797137,0.0213877492
146,63,318,trailing,1,24,0.00550593023,0.018541039
147,63,330,trailing,1,23,0.00495452308,0.0155630979
148,63,342,trailing,1,14,0.00430902077,0.0127659467
149,63,354,trailing,1,5,0.00367589245,0.0104833928
150,57,6,leading,0,-1,101,100
151,57,18,leading,0,-1,101,100
152,57,30,leading,1,178,98.6363201,100
153,57,42,leading,1,172,91.0534967,100
154,57,54,leading,1,168,85.4181173,100
155,57,66,leading,1,167,81.744103,100
156,57,78,leading,1,164,79.6836942,100
157,57,90,leading,1,163,79.0159304,100
158,57,102,leading,1,164,79.6836942,100
159,57,114,leading,1,167,81.744103,100
160,57,126,leading,1,168,85.4181173,100
161,57,138,leading,1,172,91.0534967,100
162,57,150,leading,1,178,98.6363201,100
163,57,162,leading,0,-1,101,100
164,57,174,leading,0,-1,101,100
165,57,186,trailing,1,9,0.00388983446,0.0122473565
166,57,198,trailing,1,22,0.00484127684,0.0157071738
167,57,210,trailing,1,30,0.00591011855,0.0201442952
168,57,222,trailing,1,32,0.00687757041,0.0251304404
169,57,234,trailing,1,37,0.00765542886,0.030216219
170,57,246,trailing,1,39,0.00798978047,0.0345357693
171,57,258,trailing,1,38,0.00780277667,0.0375221006
172,57,270,trailing,1,45,0.01,0.0387520023
173,57,282,trailing,1,38,0.00780277667,0.0375221006
174,57,294,trailing,1,39,0.00798978047,0.0345357693
175,57,306,trailing,1,37,0.00765542886,0.030216219
176,57,318,trailing,1,32,0.00687757041,0.0251304404
177,57,330,trailing,1,30,0.00591011855,0.0201442952
178,57,342,trailing,1,22,0.00484127684,0.0157071738
179,57,354,trailing,1,9,0.00388983446,0.0122473565
180,51,6,leading,0,-1,101,100
181,51,18,leading,1,177,98.2545283,100
182,51,30,leading,1,170,87.5568411,100
183,51,42,leading,1,165,79.7598986,100
184,51,54,leading,1,160,74.4741068,100
185,51,66,leading,1,159,70.8824484,100
186,51,78,leading,1,157,68.9709437,100
187,51,90,leading,1,156,68.2018154,100
188,51,102,leading,1,157,68.9709437,100
189,51,114,leading,1,159,70.8824484,100
190,51,126,leading,1,160,74.4741068,100
191,51,138,leading,1,165,79.7598986,100
192,51,150,leading,1,170,87.5568411,100
193,51,162,leading,1,177,98.2545283,100
194,51,174,leading,0,-1,101,100
195,51,186,trailing,1,13,0.00420404601,0.014777103
196,51,198,trailing,1,26,0.00565865566,0.0201442952
197,51,210,trailing,1,36,0.00736823635,0.0276835073
198,51,222,trailing,1,40,0.00914568856,0.0363312332
199,51,234,trailing,1,46,0.01,0.045533304
200,51,246,trailing,1,47,0.01,0.0535012812
201,51,258,trailing,1,49,0.01,0.0594822234
202,51,270,trailing,1,50,0.01,0.0617156344
203,51,282,trailing,1,49,0.01,0.0594822234
204,51,294,trailing,1,47,0.01,0.0535012812
205,51,306,trailing,1,46,0.01,0.045533304
206,51,318,trailing,1,40,0.00914568856,0.0363312332
207,51,330,trailing,1,36,0.00736823635,0.0276835073
208,51,342,trailing,1,26,0.00565865566,0.0201442952
209,51,354,trailing,1,13,0.00420404601,0.014777103
210,45,6,leading,0,-1,100.536662,100
211,45,18,leading,1,169,87.2478849,100
212,45,30,leading,1,162,76.554526,100
213,45,42,leading,1,158,69.1721139,100
214,45,54,leading,1,152,63.9985295,100
215,45,66,leading,1,151,60.7415604,100
216,45,78,leading,1,150,59.0033253,100
217,45,90,leading,1,148,58.3453507,100
218,45,102,leading,1,150,59.0033253,100
219,45,114,leading,1,151,60.7415604,100
220,45,126,leading,1,152,63.9985295,100
221,45,138,leading,1,158,69.1721139,100
222,45,150,leading,1,162,76.554526,100
223,45,162,leading,1,169,87.2478849,100
224,45,174,leading,0,-1,100.536662,100
225,45,186,trailing,1,20,0.00473546711,0.0187562791
226,45,198,trailing,1,34,0.00698921888,0.027429577
227,45,210,trailing,1,44,0.00988773758,0.0405792627
228,45,222,trailing,1,48,0.01,0.0570660995
229,45,234,trailing,1,53,0.01,0.0752381692
230,45,246,trailing,1,54,0.01,0.0925727663
231,45,258,trailing,1,56,0.01,0.105320098
232,45,270,trailing,1,57,0.01,0.110286222
233,45,282,trailing,1,56,0.01,0.105320098
234,45,294,trailing,1,54,0.01,0.0925727663
235,45,306,trailing,1,53,0.01,0.0752381692
236,45,318,trailing,1,48,0.01,0.0570660995
237,45,330,trailing,1,44,0.00988773758,0.0405792627
238,45,342,trailing,1,34,0.00698921888,0.027429577
239,45,354,trailing,1,20,0.00473546711,0.0187562791
240,39,6,leading,1,174,91.3338221,100
241,39,18,leading,1,161,76.2927604,100
242,39,30,leading,1,154,65.8420628,100
243,39,42,leading,1,149,58.8690998,100
244,39,54,leading,1,145,54.3962532,100
245,39,66,leading,1,143,51.5330378,100
246,39,78,leading,1,142,50.0281834,100
247,39,90,leading,1,141,49.5175113,100
248,39,102,leading,1,142,50.0281834,100
249,39,114,leading,1,143,51.5330378,100
250,39,126,leading,1,145,54.3962532,100
251,39,138,leading,1,149,58.8690998,100
252,39,150,leading,1,154,65.8420628,100
253,39,162,leading,1,161,76.2927604,100
254,39,174,leading,1,174,91.3338221,100
255,39,186,trailing,1,25,0.00553706919,0.0251602826
256,39,198,trailing,1,42,0.00925492237,0.040634605
257,39,210,trailing,1,51,0.01,0.0664371824
258,39,222,trailing,1,55,0.01,0.102448417
259,39,234,trailing,1,60,0.01,0.146751751
260,39,246,trailing,1,62,0.01,0.193483227
261,39,258,trailing,1,63,0.01,0.232639439
262,39,270,trailing,1,65,0.01,0.249286264
263,39,282,trailing,1,63,0.01,0.232639439
264,39,294,trailing,1,62,0.01,0.193483227
265,39,306,trailing,1,60,0.01,0.146751751
266,39,318,trailing,1,55,0.01,0.102448417
267,39,330,trailing,1,51,0.01,0.0664371824
268,39,342,trailing,1,42,0.00925492237,0.040634605
269,39,354,trailing,1,25,0.00553706919,0.0251602826
270,33,6,leading,1,166,79.914387,100
271,33,18,leading,1,153,64.964377,100
272,33,30,leading,1,146,55.2782217,100
273,33,42,leading,1,140,49.2420164,100
274,33,54,leading,1,139,45.5387926,100
275,33,66,leading,1,136,43.3149398,100
276,33,78,leading,1,134,42.0945798,100
277,33,90,leading,1,133,41.7983392,100
278,33,102,leading,1,134,42.0945798,100
279,33,114,leading,1,136,43.3149398,100
280,33,126,leading,1,139,45.5387926,100
281,33,138,leading,1,140,49.2420164,100
282,33,150,leading,1,146,55.2782217,100
283,33,162,leading,1,153,64.964377,100
284,33,174,leading,1,166,79.914387,100
285,33,186,trailing,1,33,0.00693129409,0.0368385719
286,33,198,trailing,1,52,0.01,0.0694128007
287,33,210,trailing,1,58,0.01,0.1301839
288,33,222,trailing,1,64,0.01,0.240264908
289,33,234,trailing,1,67,0.01,0.431337691
290,33,246,trailing,1,69,0.01,0.74633957
291,33,258,trailing,1,71,0.01,1.13508272
292,33,270,trailing,1,72,0.01,1.33987268
293,33,282,trailing,1,71,0.01,1.13508272
294,33,294,trailing,1,69,0.01,0.74633957
295,33,306,trailing,1,67,0.01,0.431337691
296,33,318,trailing,1,64,0.01,0.240264908
297,33,330,trailing,1,58,0.01,0.1301839
298,33,342,trailing,1,52,0.01,0.0694128007
299,33,354,trailing,1,33,0.00693129409,0.0368385719
300,27,6,leading,1,155,68.055921,100
301,27,18,leading,1,144,53.5946476,100
302,27,30,leading,1,138,45.4089412,100
303,27,42,leading,1,132,40.6940619,100
304,27,54,leading,1,131,37.9233545,100
305,27,66,leading,1,129,36.2002574,100
306,27,78,leading,1,128,35.3867043,100
307,27,90,leading,1,127,35.1536872,100
308,27,102,leading,1,128,35.3867043,100
309,27,114,leading,1,129,36.2002574,100
310,27,126,leading,1,131,37.9233545,100
311,27,138,leading,1,132,40.6940619,100
312,27,150,leading,1,138,45.4089412,100
313,27,162,leading,1,144,53.5946476,100
314,27,174,leading,1,155,68.055921,100
315,27,186,trailing,1,43,0.00956078298,0.0616479309
316,27,198,trailing,1,61,0.01,0.152065747
317,27,210,trailing,1,66,0.01,0.42315785
318,27,222,trailing,1,73,0.01,1.671681
319,27,234,trailing,1,74,0.01,4.20060317
320,27,246,trailing,1,76,0.01,5.93453497
321,27,258,trailing,1,77,0.01,6.87731172
322,27,270,trailing,1,78,0.01,7.20159534
323,27,282,trailing,1,77,0.01,6.87731172
324,27,294,trailing,1,76,0.01,5.93453497
325,27,306,trailing,1,74,0.01,4.20060317
326,27,318,trailing,1,73,0.01,1.671681
327,27,330,trailing,1,66,0.01,0.42315785
328,27,342,trailing,1,61,0.01,0.152065747
329,27,354,trailing,1,43,0.00956078298,0.0616479309
330,21,6,leading,1,147,55.866538,100
331,21,18,leading,1,135,43.0119355,100
332,21,30,leading,1,130,36.7715827,100
333,21,42,leading,1,125,33.4150747,100
334,21,54,leading,1,123,31.4773793,100
335,21,66,leading,1,122,30.4609673,100
336,21,78,leading,1,121,29.8608011,100
337,21,90,leading,1,120,29.7169284,100
338,21,102,leading,1,121,29.8608011,100
339,21,114,leading,1,122,30.4609673,100
340,21,126,leading,1,123,31.4773793,100
341,21,138,leading,1,125,33.4150747,100
342,21,150,leading,1,130,36.7715827,100
343,21,162,leading,1,135,43.0119355,100
344,21,174,leading,1,147,55.866538,100
345,21,186,trailing,1,59,0.01,0.132308481
346,21,198,trailing,1,70,0.01,0.837177537
347,21,210,trailing,1,75,0.01,4.98136855
348,21,222,trailing,1,80,0.01,8.57959393
349,21,234,trailing,1,82,0.01,10.6540261
350,21,246,trailing,1,83,0.01,11.7905962
351,21,258,trailing,1,84,0.01,12.403572
352,21,270,trailing,1,86,0.01,12.6342881
353,21,282,trailing,1,84,0.01,12.403572
354,21,294,trailing,1,83,0.01,11.7905962
355,21,306,trailing,1,82,0.01,10.6540261
356,21,318,trailing,1,80,0.01,8.57959393
357,21,330,trailing,1,75,0.01,4.98136855
358,21,342,trailing,1,70,0.01,0.837177537
359,21,354,trailing,1,59,0.01,0.132308481
360,15,6,leading,1,137,43.6018578,100
361,15,18,leading,1,126,33.5834345,100
362,15,30,leading,1,119,29.533752,100
363,15,42,leading,1,118,27.5847937,100
364,15,54,leading,1,117,26.577975,100
365,15,66,leading,1,115,25.9902161,100
366,15,78,leading,1,114,25.7082858,100
367,15,90,leading,1,113,25.5995481,100
368,15,102,leading,1,114,25.7082858,100
369,15,114,leading,1,115,25.9902161,100
370,15,126,leading,1,117,26.577975,100
371,15,138,leading,1,118,27.5847937,100
372,15,150,leading,1,119,29.533752,100
373,15,162,leading,1,126,33.5834345,100
374,15,174,leading,1,137,43.6018578,100
375,15,186,trailing,1,68,0.01,0.730232899
376,15,198,trailing,1,79,0.01,8.08574404
377,15,210,trailing,1,85,0.01,12.460853
378,15,222,trailing,1,87,0.01,14.5741015
379,15,234,trailing,1,88,0.01,15.6890916
380,15,246,trailing,1,90,0.01,16.3533527
381,15,258,trailing,1,91,0.01,16.6575377
382,15,270,trailing,1,92,0.01,16.8117455
383,15,282,trailing,1,91,0.01,16.6575377
384,15,294,trailing,1,90,0.01,16.3533527
385,15,306,trailing,1,88,0.01,15.6890916
386,15,318,trailing,1,87,0.01,14.5741015
387,15,330,trailing,1,85,0.01,12.460853
388,15,342,trailing,1,79,0.01,8.08574404
389,15,354,trailing,1,68,0.01,0.730232899
390,9,6,leading,1,124,31.9456807,100
391,9,18,leading,1,116,26.1192377,100
392,9,30,leading,1,112,24.3755,100
393,9,42,leading,1,111,23.6195509,100
394,9,54,leading,1,110,23.2041279,100
395,9,66,leading,1,109,22.9661585,100
396,9,78,leading,1,107,22.8605859,100
397,9,90,leading,1,107,22.8605859,100
398,9,102,leading,1,107,22.8605859,100
399,9,114,leading,1,109,22.9661585,100
400,9,126,leading,1,110,23.2041279,100
401,9,138,leading,1,111,23.6195509,100
402,9,150,leading,1,112,24.3755,100
403,9,162,leading,1,116,26.1192377,100
404,9,174,leading,1,124,31.9456807,100
405,9,186,trailing,1,81,0.01,10.1282552
406,9,198,trailing,1,89,0.01,15.9074586
407,9,210,trailing,1,93,0.01,17.9319209
408,9,222,trailing,1,94,0.01,18.7774588
409,9,234,trailing,1,96,0.01,19.2150634
410,9,246,trailing,1,97,0.01,19.4825062
411,9,258,trailing,1,98,0.01,19.5724784
412,9,270,trailing,1,98,0.01,19.5724784
413,9,282,trailing,1,98,0.01,19.5724784
414,9,294,trailing,1,97,0.01,19.4825062
415,9,306,trailing,1,96,0.01,19.2150634
416,9,318,trailing,1,94,0.01,18.7774588
417,9,330,trailing,1,93,0.01,17.9319209
418,9,342,trailing,1,89,0.01,15.9074586
419,9,354,trailing,1,81,0.01,10.1282552
420,3,6,leading,1,108,22.8890486,100
421,3,18,leading,1,106,21.8626201,100
422,3,30,leading,1,105,21.6555122,100
423,3,42,leading,1,104,21.5576013,100
424,3,54,leading,1,103,21.4585036,100
425,3,66,leading,1,103,21.4585036,100
426,3,78,leading,1,103,21.4585036,100
427,3,90,leading,1,103,21.4585036,100
428,3,102,leading,1,103,21.4585036,100
429,3,114,leading,1,103,21.4585036,100
430,3,126,leading,1,103,21.4585036,100
431,3,138,leading,1,104,21.5576013,100
432,3,150,leading,1,105,21.6555122,100
433,3,162,leading,1,106,21.8626201,100
434,3,174,leading,1,108,22.8890486,100
435,3,186,trailing,1,95,0.01,18.9512918
436,3,198,trailing,1,99,0.01,20.5900228
437,3,210,trailing,1,100,0.01,20.7806357
438,3,222,trailing,1,101,0.01,20.8766029
439,3,234,trailing,1,102,0.01,20.9730132
440,3,246,trailing,1,102,0.01,20.9730132
441,3,258,trailing,1,102,0.01,20.9730132
442,3,270,trailing,1,102,0.01,20.9730132
443,3,282,trailing,1,102,0.01,20.9730132
444,3,294,trailing,1,102,0.01,20.9730132
445,3,306,trailing,1,102,0.01,20.9730132
446,3,318,trailing,1,101,0.01,20.8766029
447,3,330,trailing,1,100,0.01,20.7806357
448,3,342,trailing,1,99,0.01,20.5900228
449,3,354,trailing,1,95,0.01,18.9512918
450,-3,6,leading,1,108,22.8890486,100
451,-3,18,leading,1,106,21.8626201,100
452,-3,30,leading,1,105,21.6555122,100
453,-3,42,leading,1,104,21.5576013,100
454,-3,54,leading,1,103,21.4585036,100
455,-3,66,leading,1,103,21.4585036,100
456,-3,78,leading,1,103,21.4585036,100
457,-3,90,leading,1,103,21.4585036,100
458,-3,102,leading,1,103,21.4585036,100
459,-3,114,leading,1,103,21.4585036,100
460,-3,126,leading,1,103,21.4585036,100
461,-3,138,leading,1,104,21.5576013,100
462,-3,150,leading,1,105,21.6555122,100
463,-3,162,leading,1,106,21.8626201,100
464,-3,174,leading,1,108,22.8890486,100
465,-3,186,trailing,1,95,0.01,18.9512918
466,-3,198,trailing,1,99,0.01,20.5900228
467,-3,210,trailing,1,100,0.01,20.7806357
468,-3,222,trailing,1,101,0.01,20.8766029
469,-3,234,trailing,1,102,0.01,20.9730132
470,-3,246,trailing,1,102,0.01,20.9730132
471,-3,258,trailing,1,102,0.01,20.9730132
472,-3,270,trailing,1,102,0.01,20.9730132
473,-3,282,trailing,1,102,0.01,20.9730132
474,-3,294,trailing,1,102,0.01,20.9730132
475,-3,306,trailing,1,102,0.01,20.9730132
476,-3,318,trailing,1,101,0.01,20.8766029
477,-3,330,trailing,1,100,0.01,20.7806357
478,-3,342,trailing,1,99,0.01,20.5900228
479,-3,354,trailing,1,95,0.01,18.9512918
480,-9,6,leading,1,124,31.9456807,100
481,-9,18,leading,1,116,26.1192377,100
482,-9,30,leading,1,112,24.3755,100
483,-9,42,leading,1,111,23.6195509,100
484,-9,54,leading,1,110,23.2041279,100
485,-9,66,leading,1,109,22.9661585,100
486,-9,78,leading,1,107,22.8605859,100
487,-9,90,leading,1,107,22.8605859,100
488,-9,102,leading,1,107,22.8605859,100
489,-9,114,leading,1,109,22.9661585,100
490,-9,126,leading,1,110,23.2041279,100
491,-9,138,leading,1,111,23.6195509,100
492,-9,150,leading,1,112,24.3755,100
493,-9,162,leading,1,116,26.1192377,100
494,-9,174,leading,1,124,31.9456807,100
495,-9,186,trailing,1,81,0.01,10.1282552
496,-9,198,trailing,1,89,0.01,15.9074586
497,-9,210,trailing,1,93,0.01,17.9319209
498,-9,222,trailing,1,94,0.01,18.7774588
499,-9,234,trailing,1,96,0.01,19.2150634
500,-9,246,trailing,1,97,0.01,19.4825062
501,-9,258,trailing,1,98,0.01,19.5724784
502,-9,270,trailing,1,98,0.01,19.5724784
503,-9,282,trailing,1,98,0.01,19.5724784
504,-9,294,trailing,1,97,0.01,19.4825062
505,-9,306,trailing,1,96,0.01,19.2150634
506,-9,318,trailing,1,94,0.01,18.7774588
507,-9,330,trailing,1,93,0.01,17.9319209
508,-9,342,trailing,1,89,0.01,15.9074586
509,-9,354,trailing,1,81,0.01,10.1282552
510,-15,6,leading,1,137,43.6018578,100
511,-15,18,leading,1,126,33.5834345,100
512,-15,30,leading,1,119,29.533752,100
513,-15,42,leading,1,118,27.5847937,100
514,-15,54,leading,1,117,26.577975,100
515,-15,66,leading,1,115,25.9902161,100
516,-15,78,leading,1,114,25.7082858,100
517,-15,90,leading,1,113,25.5995481,100
518,-15,102,leading,1,114,25.7082858,100
519,-15,114,leading,1,115,25.9902161,100
520,-15,126,leading,1,117,26.577975,100
521,-15,138,leading,1,118,27.5847937,100
522,-15,150,leading,1,119,29.533752,100
523,-15,162,leading,1,126,33.5834345,100
524,-15,174,leading,1,137,43.6018578,100
525,-15,186,trailing,1,68,0.01,0.730232899
526,-15,198,trailing,1,79,0.01,8.08574404
527,-15,210,trailing,1,85,0.01,12.460853
528,-15,222,trailing,1,87,0.01,14.5741015
529,-15,234,trailing,1,88,0.01,15.6890916
530,-15,246,trailing,1,90,0.01,16.3533527
531,-15,258,trailing,1,91,0.01,16.6575377
532,-15,270,trailing,1,92,0.01,16.8117455
533,-15,282,trailing,1,91,0.01,16.6575377
534,-15,294,trailing,1,90,0.01,16.3533527
535,-15,306,trailing,1,88,0.01,15.6890916
536,-15,318,trailing,1,87,0.01,14.5741015
537,-15,330,trailing,1,85,0.01,12.460853
538,-15,342,trailing,1,79,0.01,8.08574404
539,-15,354,trailing,1,68,0.01,0.730232899
540,-21,6,leading,1,147,55.866538,100
541,-21,18,leading,1,135,43.0119355,100
542,-21,30,leading,1,130,36.7715827,100
543,-21,42,leading,1,125,33.4150747,100
544,-21,54,leading,1,123,31.4773793,100
545,-21,66,leading,1,122,30.4609673,100
546,-21,78,leading,1,121,29.8608011,100
547,-21,90,leading,1,120,29.7169284,100
548,-21,102,leading,1,121,29.8608011,100
549,-21,114,leading,1,122,30.4609673,100
550,-21,126,leading,1,123,31.4773793,100
551,-21,138,leading,1,125,33.4150747,100
552,-21,150,leading,1,130,36.7715827,100
553,-21,162,leading,1,135,43.0119355,100
554,-21,174,leading,1,147,55.866538,100
555,-21,186,trailing,1,59,0.01,0.132308481
556,-21,198,trailing,1,70,0.01,0.837177537
557,-21,210,trailing,1,75,0.01,4.98136855
558,-21,222,trailing,1,80,0.01,8.57959393
559,-21,234,trailing,1,82,0.01,10.6540261
560,-21,246,trailing,1,83,0.01,11.7905962
561,-21,258,trailing,1,84,0.01,12.403572
562,-21,270,trailing,1,86,0.01,12.6342881
563,-21,282,trailing,1,84,0.01,12.403572
564,-21,294,trailing,1,83,0.01,11.7905962
565,-21,306,trailing,1,82,0.01,10.6540261
566,-21,318,trailing,1,80,0.01,8.57959393
567,-21,330,trailing,1,75,0.01,4.98136855
568,-21,342,trailing,1,70,0.01,0.837177537
569,-21,354,trailing,1,59,0.01,0.132308481
570,-27,6,leading,1,155,68.055921,100
571,-27,18,leading,1,144,53.5946476,100
572,-27,30,leading,1,138,45.4089412,100
573,-27,42,leading,1,132,40.6940619,100
574,-27,54,leading,1,131,37.9233545,100
575,-27,66,leading,1,129,36.2002574,100
576,-27,78,leading,1,128,35.3867043,100
577,-27,90,leading,1,127,35.1536872,100
578,-27,102,leading,1,128,35.3867043,100
579,-27,114,leading,1,129,36.2002574,100
580,-27,126,leading,1,131,37.9233545,100
581,-27,138,leading,1,132,40.6940619,100
582,-27,150,leading,1,138,45.4089412,100
583,-27,162,leading,1,144,53.5946476,100
584,-27,174,leading,1,155,68.055921,100
585,-27,186,trailing,1,43,0.00956078298,0.0616479309
586,-27,198,trailing,1,61,0.01,0.152065747
587,-27,210,trailing,1,66,0.01,0.42315785
588,-27,222,trailing,1,73,0.01,1.671681
589,-27,234,trailing,1,74,0.01,4.20060317
590,-27,246,trailing,1,76,0.01,5.93453497
591,-27,258,trailing,1,77,0.01,6.87731172
592,-27,270,trailing,1,78,0.01,7.20159534
593,-27,282,trailing,1,77,0.01,6.87731172
594,-27,294,trailing,1,76,0.01,5.93453497
595,-27,306,trailing,1,74,0.01,4.20060317
596,-27,318,trailing,1,73,0.01,1.671681
597,-27,330,trailing,1,66,0.01,0.42315785
598,-27,342,trailing,1,61,0.01,0.152065747
599,-27,354,trailing,1,43,0.00956078298,0.0616479309
600,-33,6,leading,1,166,79.914387,100
601,-33,18,leading,1,153,64.964377,100
602,-33,30,leading,1,146,55.2782217,100
603,-33,42,leading,1,140,49.2420164,100
604,-33,54,leading,1,139,45.5387926,100
605,-33,66,leading,1,136,43.3149398,100
606,-33,78,leading,1,134,42.0945798,100
607,-33,90,leading,1,133,41.7983392,100
608,-33,102,leading,1,134,42.0945798,100
609,-33,114,leading,1,136,43.3149398,100
610,-33,126,leading,1,139,45.5387926,100
611,-33,138,leading,1,140,49.2420164,100
